,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(5),PAR(6),PAR(7),PAR(8),PAR(40),PAR(41),PAR(42),PAR(43),PAR(80)
537,-5,537,0,0,0.058603999256,3.5318772265,120.84193936,0.33149172174,3.5996381207,0.36118754685,0.049218231695,0.072952740831,3.3174132583,0.031859604183,0.020490743902,3.0
538,-5,538,0,0,0.058600558878,3.5356221156,119.76354761,0.33338485532,3.6020320356,0.36011316523,0.049204206942,0.07306832604,3.3243679406,0.031406654559,0.020531883907,3.0
539,-5,539,0,0,0.058596975828,3.5393666567,118.67052312,0.33522779539,3.6044352737,0.35903868227,0.049189239977,0.073184094981,3.3312977154,0.030970487897,0.02057280778,3.0
540,-5,540,0,0,0.058593250099,3.5431102297,117.56234301,0.33701717679,3.606850404,0.35797592802,0.049173579907,0.07329969752,3.3381991246,0.030548946793,0.020613426861,3.0
541,-5,541,0,0,0.058589381797,3.5468521514,116.43841047,0.33875288409,3.6092752322,0.35690954596,0.04915786165,0.073414745175,3.3450722816,0.030141006128,0.020654175926,3.0
542,-5,542,0,0,0.058585371198,3.5505916625,115.2980427,0.34044433208,3.6117278444,0.35585791026,0.049141173112,0.073529949153,3.3519185222,0.02974812325,0.020694642337,3.0
543,-5,543,0,0,0.058581218876,3.5543279127,114.14045528,0.34208585672,3.6141908363,0.35479676861,0.049124193872,0.07364485971,3.3587364777,0.029368732994,0.020734743523,3.0
544,-5,544,0,0,0.058576925923,3.5580599395,112.96474168,0.34368703782,3.6166483294,0.35374090481,0.049107315945,0.073759500823,3.3655257114,0.029000415846,0.020774873455,3.0
545,-5,545,0,0,0.058572494403,3.5617866426,111.76984554,0.34523503814,3.6191497573,0.35270776068,0.049089617137,0.073873763334,3.3722832387,0.028645006425,0.020814900691,3.0
546,-5,546,0,0,0.058567928212,3.5655067473,110.55452254,0.34673790049,3.6216611607,0.35165002462,0.049071663558,0.073988192434,3.3790134228,0.028301933708,0.020854687942,3.0
547,-5,547,0,0,0.058563234749,3.5692187541,109.31728638,0.34819960567,3.6241718453,0.35062166391,0.049053567363,0.074101842471,3.3857120017,0.027970856111,0.0208942757,3.0
548,-5,548,0,0,0.058558428115,3.5729208665,108.05633061,0.34961320373,3.6267000829,0.34958982844,0.049035185555,0.074215535075,3.392378993,0.027650858725,0.020933664819,3.0
549,-5,549,0,0,0.058553535178,3.5766108816,106.76941284,0.35098245781,3.6292571926,0.34854662003,0.049016659973,0.074328762317,3.3990151785,0.027341375235,0.020972879632,3.0
550,-5,550,0,0,0.058548606937,3.580286024,105.45368069,0.35232298212,3.6318031728,0.34752477351,0.048998183824,0.074441695174,3.405618209,0.027040772205,0.021011917659,3.0
