,branch,PT,TY,LAB,V_plc,L2-NORM,PERIOD,PAR(4),PAR(5),PAR(6),PAR(7),PAR(8),PAR(31),PAR(32),PAR(33),PAR(34),PAR(35),PAR(80)
838,-1,838,0,0,0.86690288249,1.0893832173,67.196949334,1.0,0.42139308037,0.59173281444,0.16879954672,0.16047157515,1.0,0.064720780171,0.27553358688,0.024742833534,0.10988476132,4.0
839,-1,839,0,0,0.86714823204,1.0893449576,67.23203788,1.0,0.42120640779,0.59140704621,0.16871474293,0.16047940869,1.0,0.064746180581,0.27554267631,0.024793794478,0.10992715633,4.0
840,-1,840,0,0,0.86739271902,1.0893073181,67.26745823,1.0,0.42097719856,0.59108344099,0.16863012067,0.16048697503,1.0,0.064771279248,0.27555423432,0.024844326577,0.10996912655,4.0
841,-1,841,0,0,0.86763639587,1.0892703007,67.30320975,1.0,0.42074908324,0.59076583181,0.16854622945,0.16049621273,1.0,0.064797902083,0.27559110762,0.024888460481,0.11000881869,4.0
842,-1,842,0,0,0.86787932402,1.0892339064,67.339291267,1.0,0.4205437186,0.59045301403,0.16846425837,0.16050609198,1.0,0.064822541443,0.27562699512,0.02493454614,0.11005007007,4.0
843,-1,843,0,0,0.86812157178,1.0891981361,67.375700945,1.0,0.4202965536,0.59014482338,0.16838256397,0.16051568661,1.0,0.064846879024,0.27566548919,0.024980192114,0.11009090863,4.0
844,-1,844,0,0,0.86836321556,1.0891629898,67.41243635,1.0,0.42011613509,0.58983981031,0.16830132305,0.16052520997,1.0,0.064867733671,0.27562452866,0.02502421812,0.11013407877,4.0
845,-1,845,0,0,0.8686043403,1.0891284671,67.449494367,1.0,0.41988680349,0.58954047623,0.16822121633,0.16053413885,1.0,0.064890852506,0.27564402503,0.025069239414,0.11017486324,4.0
846,-1,846,0,0,0.86884503771,1.0890945668,67.48687122,1.0,0.41964811427,0.58924304136,0.16814117503,0.16054279509,1.0,0.064913661538,0.27566483025,0.025113829374,0.11021526582,4.0
847,-1,847,0,0,0.86908540789,1.0890612871,67.52456253,1.0,0.41949109361,0.58895200757,0.16806223507,0.16055096035,1.0,0.064936562621,0.27569034539,0.025157915218,0.11025476346,4.0
848,-1,848,0,0,0.86932555673,1.0890286255,67.562563083,1.0,0.41924682866,0.5886660223,0.16798477378,0.16055894087,1.0,0.064959067849,0.27571239202,0.025202025361,0.11029327396,4.0
849,-1,849,0,0,0.86956559811,1.088996579,67.600867123,1.0,0.41907558929,0.58838382764,0.1679074664,0.16056666407,1.0,0.064981275722,0.27573696497,0.02524572219,0.11033141455,4.0
850,-1,850,0,0,0.86980565482,1.0889651433,67.639468186,1.0,0.41888164633,0.58810407364,0.16783012245,0.16057337594,1.0,0.065001810483,0.27576095403,0.025290510727,0.11037371244,4.0
851,-1,851,0,0,0.87004584805,1.088934314,67.678359248,1.0,0.41865683093,0.58783060001,0.16775467538,0.16058045702,1.0,0.065023203336,0.27577954087,0.025333734064,0.11041109311,4.0
852,-1,852,0,0,0.87028631136,1.0889040856,67.717532458,1.0,0.41851513277,0.58756095335,0.16767932566,0.16059030244,1.0,0.065044308431,0.27579939556,0.025376571868,0.1104479594,4.0
853,-1,853,0,0,0.87052718306,1.0888744518,67.756979326,1.0,0.41826799535,0.58729413639,0.16760367607,0.16060062129,1.0,0.065064896714,0.27582037502,0.025422350729,0.11048468593,4.0
854,-1,854,0,0,0.87076859989,1.0888454059,67.796691092,1.0,0.41814015626,0.5870314839,0.16752999904,0.16061009201,1.0,0.065085298438,0.27584312387,0.025464805913,0.11052225266,4.0
855,-1,855,0,0,0.87101070796,1.0888169402,67.836658083,1.0,0.4179651072,0.5867744492,0.16745652468,0.16061931071,1.0,0.06510542906,0.27586712603,0.025503268892,0.11055955016,4.0
856,-1,856,0,0,0.8712536506,1.0887890464,67.876870303,1.0,0.41776248825,0.58651815649,0.16738290981,0.16062838399,1.0,0.065130635431,0.27592259357,0.025536062595,0.11058842793,4.0
857,-1,857,0,0,0.87149758429,1.0887617155,67.917316911,1.0,0.41761314201,0.58626853217,0.16731047505,0.16063691971,1.0,0.065149681593,0.27595937956,0.025573205521,0.11062459882,4.0
858,-1,858,0,0,0.87174265614,1.0887349379,67.957986956,1.0,0.41741745863,0.5860210145,0.1672379817,0.1606452259,1.0,0.065168472391,0.2759987664,0.025610056203,0.11066054629,4.0
859,-1,859,0,0,0.87198901707,1.0887087034,67.998868922,1.0,0.41725915036,0.5857771174,0.16716609772,0.16065292773,1.0,0.065183435247,0.27596185086,0.025645630509,0.11069781498,4.0
860,-1,860,0,0,0.87223681922,1.0886830011,68.039950985,1.0,0.41709398093,0.58553680842,0.16709434367,0.16066067585,1.0,0.065202340862,0.27598023184,0.025682344517,0.11073262017,4.0
